"Type","Journal...Book","Title","Year","Authors","Experimental.Study.","N.","Scientific.topic","Topic.Family","Stimulus","Stimulus.Family","Type.of.framing","Measure.of.Efficacy..Output.","Output.family","Method","Emotion","Emotion.role","Key.findings","X","X.1","X.2","X.3","X.4","X.5","Method.of.Exploration","Jounral.checked"
NA,"Science Communication","Emotion and the Psychological Distance of Climate Change","2019","Chu & Yang","Yes","429","Climate Change","Environment","news article","Text","close/distant","Policy support","Behavioral","perceived distance questionnaire,emotion indicator slide","Anger,Fear,Sadness,Guilt,Hope,Shame,Anxiety","Input","(1) Reduced psychological distance leads to increase in emotions such as anger,fear,sadness,and guilt
(2) Increased psychological distance leads to increase in abstract emotion,such as hope
(3) anger,anxiety and hope had more impact on mitigation action and policy support than fear,guilt,and shame",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Using Political Efficacy Messages to Increase Climate Activism: The Mediating Role of Emotions","2015","Feldman & Hart","Yes","425","Climate Change","Environment","news article","Text","N/A","Intention to act","Behavioral","intention to participate questionnaire,emotions questionnaire","None","","(1) Exposure to efficacy information influence hope and fear,but not anger
(2) effects vary by political idealogy
(3) exposure to efficacy information increases participation via hope",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Effects of Goal Framing and Emotions on Perceived Threat and Willingness to Sacrifice for Climate Change","2017","Bilandzic et al.","Yes","247","Climate Change","Environment","text","Text","gain/loss","Perceived threat,Willingness to sacrifice","Behavioral,Epistemic","perceived threat questionnaire,willingness to sacrifice questionnaire","Guilt,Fear,Hope,","Input","(1) Gain-negative frames increase perceived threat and willingness to sacrifice
(2) Loss frames increase perceived threat and willingness to sacrifice mediated by guilt and fear
(3) gain-positive frame increase perceived threat and willingness to sacrifice through hope",NA,NA,NA,NA,NA,NA,"",""
NA,"Climate Change","A public health frame arouses hopeful emotions about Climate Change","2012","Myers et al.","Yes","1127","Climate Change","Environment","text","Text","environhment/national security/health","Affective response","Affective","emotion response","Hope,Anger","Output","(1) Public health focus ilicit most emotional reaction and support for CC mitigation
(2) National security frame may elicit anger",NA,NA,NA,NA,NA,NA,"",""
NA,"Global Environmental Change","Message framing influences perceived Climate Change competence,engagement,and behavioral intentions","2011","Gifford & Comeau","Yes","1038","Climate Change","Environment","text","Text","motivation/sacrifice","Intention to act","Behavioral","perceived competence,engagement questionnaire,behavior intentions questionnaire","None","","(1) Motivational framing works better than sacrifice framing to increase engagement",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Applied Research in Memory and Cognition","When Fairness is Flawed: Effects of False Balance Reporting and Weight-of-Evidence Statements on Beliefs and Perceptions of Climate Change","2021","Imundo & Rapp","Yes","552","Climate Change","Environment","fictional interview","Text,Sound","N/A","Perceived competence","Epistemic","perceived expertise,global warming belief scale","None","","(1) Contrarian claims make issues seem more contentious,reduce perceived competence
(2) statements about broader consensus can improve perception",NA,NA,NA,NA,NA,NA,"",""
NA,"JCOM","Understanding the relationship between sharing personal anecdotes,warmth,curiosity,risk perception and mitigation in communicating the threat of Climate Change","2021","Maktoufi","Yes","36","Wildlife","Environment","photographs","Image","N/A","Perceived likability","Attitudinal","Q-method","None","","(1) Anecdotes don't affect curiosity or risk perception
(2) There is positive relationship between curiosity and risk perception and between trust in scientists and risk perception.",NA,NA,NA,NA,NA,NA,"",""
NA,"JCOM","Uniquely disgusting? Physiological disgust and attitudes toward GM food and other food and health technologies","2021","Chinn & Hasell","Yes","73","GMO","Health,Technology","photographs","Image","N/A","Perceived risk,Policy support","Epistemic,Behavioral","heart rate sensors,risk perception questionnaire","None","","(1) Disgust drives skepticism towards GM food,but not other food and health technologies",NA,NA,NA,NA,NA,NA,"",""
NA,"JCOM","Co-benefits associated with public support for climate-friendly COVID-19 recovery policies and political activism","2021","Thaker & FLoyd","Yes","1040","COVID","Health","natural variables","Other","N/A","Policy support,Intention to act","Behavioral","co-benefit questionnaire,policy support questionnaire,intention to engage questionnaire","None","","(1) perceptions of co-benefits of actions to address Climate Change and infectious disease is associated with policy support and engagement
(2) Effect mediated through perceived efficacy",NA,NA,NA,NA,NA,NA,"",""
NA,"Health Communications","Toward a theory of persuasive hope: effects of cognitive appraisals,hope appeals,and hope in the context of Climate Change","2014","Chadwick","Yes","245","Climate Change","Environment","text","Text","N/A","Persuasion,Intention to act","Epistemic,Behavioral","behavioral intention questionnaire,perceived efficacy,perceived hope","Hope","","(1) hope appeals is persuasive and motivates behavior",NA,NA,NA,NA,NA,NA,"",""
NA,"Global Environmental Change","Taking Climate Change here and now – mitigating ideological polarization with psychological distance","2018","Chu & Yang","Yes","1086","Climate Change","Environment","video","Video","proximal/distant","Policy support,Perceived risk","Behavioral,Epistemic","risk perception questionnaire,questionnaire","None","","(1) Ideological polarization in CC perception is reduced when presented with closeness frames contra distant framing. However,cultural worldwiev and environmental value still had consistent influence regardless of framing",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Environmental Psychology","Collective guilt mediates the effect of beliefs about global warming on willingness to engage in mitigation behavior","2010","Ferguson & Branscombe","Yes","79","Climate Change","Environment","in-person text survey","Text","N/A","Willingness to engage","Behavioral","collective guilt questionnaire","Guilt","","(1) Collective guilt mediates willingness to engage in mitigating behaviour",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Personality and Social Psychology","The Role of Transportation in the Persuasiveness of Public Narrative","2000","Green & Brock","Yes","59,274,258","Generel Science","Other","text","Text","fiction/non-fiction","Recollection","Epistemic","recall test,transportation questionnaire","None","","(1) Transportation (absorption into a story) leads to more story-consistent beliefs and evaluations",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Consumer Research","Emotions Shape Decisions through Construal Level: The Case of Guilt and Shame","2014","Han et al.","Yes","171","None","Other","verbal instructions to recall shameful/previous day events","Sound","N/A","Intention to act,Observed behavior","Behavioral","intention to participate questionnaire,observed choice of MP3","Guilt,Shame","Input","(1) Guilt and shame affect differently",NA,NA,NA,NA,NA,NA,"",""
NA,"Risk Analysis","The Future is Now: Reducing Psychological Distance to Increase Public Engagement with Climate Change","2016","Jones et al.","Yes","333","Climate Change","Environment","videos","Video","proximal/distal framing","Intention to act","Behavioral","psychological distance questionnaire,intention to mitigate questionnaire","None","","(1) Frames that reduce psychological distance are best for increasing public engagement",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","“Fear Won't Do It”: Promoting Positive Engagement With Climate Change Through Visual and Iconic Representations","2009","O'Neill & Nicholson-Cole","Yes","30","Climate Change","Environment","images","Image","N/A","Intention to act","Behavioral","q-methodology","Fear","","(1) Fear is ineffective for motivating personal engagement
(2) Nonthreatening images and icons that link to everyday emotions and concerns are most engaging.",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Environmental Psychology","Does reduced psychological distance increase climate engagement? On the limits of localizing Climate Change","2018","Schuldt et al.","Yes","491","Climate Change","Environment","visual maps","Image","proximal/distal","Policy support","Behavioral","policy support questionnaire","None","","(1) Reduced psychological distance does not translate into increased policy support",NA,NA,NA,NA,NA,NA,"",""
NA,"Risk Analysis","The role of emotion in global warming policy support and opposition","2013","Smith & Leiserowitz","Yes","1001","Climate Change","Environment","natural variables","Text","N/A","Policy support","Behavioral","policy support questionnaire,emotion questionnaire","Fear,Sadness,Hope,Depression,Guilt,Disgust,Worry","Input","(1) Discrete emotions are stronger predictor of policy support than cultural worldview,negative affect,image asociaations or sociodemographic variable
(2) worry,interest and hope are strongly associated with policy support.",NA,NA,NA,NA,NA,NA,"",""
NA,"Environmental Communication A Journal of Nature and Culture","Portraying the perils to polar bears: The role of empathic and objective perspective-taking toward animals in Climate Change communication","2014","bloodhard & Swim","Yes","241","Climate Change","Environment","text messages","Text","empathic/objective","Support for environmental groups","Behavioral","emotions questionnaire,support for environmental groups","Worry,Compassion,Distress,Shame,Pride,Anger","Input","(1) No benefit from taking objective instead of empathetic framing
(2) Portrayals of polar bears harmed motivate to donate money to environmental activist groups. Empathy and hope explain effects for environmentalists,empathy,hope,worry,personal guilt and boredom explain effects for non-environmentalists",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Risk Research","Who is afraid of the Ebola outbreak? The influence of discrete emotions on risk perception","2016","Yang & Chu","Yes","300+","Ebola","Health","news article","Text","high risk/low risk","Perceived risk,Intention to act","Behavioral,Epistemic","risk perception questionnaire,emotion questionnaire,intention to mitigate questionnaire","Fear,Anxiety,Anger,Disgust,Sadness","Input","(1) fear,anget,anxiety,disgust and sadness are positively related to risk perception
(2) Fear inhibit effect of risk information on pariticipants' support for mitigation measures",NA,NA,NA,NA,NA,NA,"",""
NA,"Communication Research","Boomerang effects in science communication: How motivated reasoning and identity cues amplify opinion polarization about climate mitigation policies","2011","Hart & Nisbet","Yes","240","Climate Change","Environment","news article","Text","N/A","Policy support","Behavioral","knowledge and belief questionnaire","None","","(1) Political partisanship conditions identification with potential victims
(2) Partisanship increase degree of political polarization and resulted in boomerang effect ",NA,NA,NA,NA,NA,NA,"",""
NA,"Communication Research","Exploring the framing effects of emotion do discrete emotions differentially influence information accessibility,information seeking,and policy preference?","2003","Nabi","Yes","166","None","Other","priming question","Text","N/A","Policy support,Information seeking","Behavioral","information accessbility questionnaire,perceived knowledge questionnaire","Fear,Anger,Enthusiasm,Contentment","Input","(1) Fear and anger can differentially affect information accessibility,information seeking,and policy preference",NA,NA,NA,NA,NA,NA,"",""
NA,"Communications","Dealing with feelings: Positive and negative discrete emotions as mediators of news framing effects","2013","Lecheler et al.","Yes","161","None","Other","news article","Text","positive/negative","Perceived economic benefit,Policy support","Behavioral,Epistemic,Affective","emotions questionnaire,support questionnaire","Fear,Anger,Enthusiasm,Contentment","Input","(1) anger and enthusiasm mediate framing effects,contentment and fear do not",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The effects of emotional appeals and gain versus loss framing in communicating sea star wasting disease","2015","Lu","Yes","555","Climate Change","Environment","news article","Text","gain/loss,sadness/hope","Intention to act","Behavioral","emotions questionnaire,behavioral intention questionnaire","Sadness,Hope","Input","(1) Sadness appeal is effective to promote information seeking and policty support hope is ineffective in this context
(2) sadness is more effective with gain framing hope have great impact with loss framing",NA,NA,NA,NA,NA,NA,"",""
NA,"Climate Change","Exploring the role of incidental emotions in support for Climate Change policy","2015","Lu & Schuldt","Yes","719","Climate Change","Environment","news article","Text","proximal/distal, emotional prime","Intention to act,Policy support","Behavioral","support questionnaire,behavioral intention questionnaire","Anger,Guilt","Input","(1) guilt increase support for policies
",NA,NA,NA,NA,NA,NA,"",""
NA,"Risk Analysis","Role of negative emotion in communication about CO2 risks","2001","Meijnders et al.","Yes","162","Climate Change","Environment","video","Video","N/A","Perceived persuasiveness","Epistemic","risk perception,intention questionnaire","Fear","Input","(1) fear affect processing of information and resulted in favorable attitude toward energy conservation",NA,NA,NA,NA,NA,NA,"",""
NA,"Global Environmental Change","Framing and communicating Climate Change: The effects of distance and outcome frame manipulations","2010","Spence & Nick","Yes","161","Climate Change","Environment","text","Text,Image","gain/loss,local/distant","Perceived severity","Epistemic","attention questionnaire,perceived severity questionnaire ","Fear","input","(1) gain frames increase perceived severity
(2) better effect of gain frame partially suppressed by lower fear response and poorer information recall ",NA,NA,NA,NA,NA,NA,"",""
NA,"Global Environmental Change","Framing and communicating Climate Change: The effects of distance and outcome frame manipulations","2010","Spence & Nick","Yes","161","Climate Change","Environment","visual maps","Text,Image","gain/loss,local/distant","Perceived severity","Epistemic","attention questionnaire,perceived severity questionnaire ","Fear","input","(1) gain frames increase perceived severity
(2) better effect of gain frame partially suppressed by lower fear response and poorer information recall ",NA,NA,NA,NA,NA,NA,"",""
NA,"Global Environmental Change","Framing and communicating Climate Change: The effects of distance and outcome frame manipulations","2010","Spence & Nick","Yes","161","Climate Change","Environment","pictures","Text,Image","gain/loss,local/distant","Perceived severity","Epistemic","attention questionnaire,perceived severity questionnaire ","Fear","input","(1) gain frames increase perceived severity
(2) better effect of gain frame partially suppressed by lower fear response and poorer information recall ",NA,NA,NA,NA,NA,NA,"",""
NA,"Global Environmental Change","Framing,partisan predispositions,and public opinion on Climate Change","2015","Wiest et al.","Yes","198","Climate Change","Environment","video","Video","loss/benefit,local/global","Perceived severity,Intention to act,Attitude change","Behavioral,Epistemic,Attitudinal","behavioral intention questionnaire,perceived benefit questionnaire","None","","(1) local framing increase perception of severity and support for policy
(2) benefit framing weakens perceptions of severity and support for policy action",NA,NA,NA,NA,NA,NA,"",""
NA,"Journal of Experimental Social Psychology","Negative emotion and message processing","1994","Baron et al.","Yes","94","None","Other","tape recording","Sound","low fear/high fear","Recollection","Epistemic","perceived message quality,memory","Fear","Input","(1) fear leads to more careful information processing",NA,NA,NA,NA,NA,NA,"",""
NA,"PLOS ONE","The effect of framing and normative messages in building support for climate policies","2014","Hurlstone et al.","Yes","120","Climate Change","Environment","Text","Text","foregone gain/loss","Policy support","Behavioral","policy support questionnaire","None","","(1) gain-frame effective for policy support",NA,NA,NA,NA,NA,NA,"",""
NA,"Climate Change","Climate Change risk perception and policy preferences: the role of affect,imagery,and values","2005","Leiserowitz","Yes","673","Climate Change","Environment","images","Image","N/A","Perceived risk,Policy support","Epistemic,Behavioral","risk perception questionnaire,policy support questionnaire,emotion questionnaire","None","","(1) risk perception and policy support is influenced by affect,imagery,and values",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Fish Tales: How Narrative Modality,Emotion,and Transportation Influence Support for Sustainable Aquaculture","2021","Rickard et al.","Yes","2225","Climate Change","Environment","video","Video,Text","N/A","Perceived risk,Policy support","Epistemic,Behavioral","risk perception,emotion questionnaire,transportation questionnaire,support","None","","(1) Text is more transporting than video
(2) transporting lead to lower risk perception and high support",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Fish Tales: How Narrative Modality,Emotion,and Transportation Influence Support for Sustainable Aquaculture","2021","Rickard et al.","Yes","2225","Climate Change","Environment","text","Video,Text","N/A","Perceived risk,Policy support","Epistemic,Behavioral","risk perception,emotion questionnaire,transportation questionnaire,support","None","","(1) Text is more transporting than video
(2) transporting lead to lower risk perception and high support",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Stars—They’re Sick Like Us! The Effects of a Celebrity Exemplar on COVID-19-Related Risk Cognitions,Emotions,and Preventative Behavioral Intentions","2020","Cohen ","Yes","213","COVID","Health","Vignette","Text","N/A","Perceived severity,Intention to act","Epistemic,Behavioral","perceived severity,behavioral intention questionnaire","None","","(1) Celebrity examples increase anxiety and increase engagement in preventive behavior",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Communicating Food Safety via the Social Media: The Role of Knowledge and Emotions on Risk Perception and Prevention","2014","Mou & Lin","Yes","1360","Food","Health","natural variables","Other","N/A","Perceived risk","Epistemic","risk perception questionnaire","Anger,Sadness,Fear,Anxiety,Resentment","Input","(1) Emotional response is predictor of safety risk perception and preventive action compared to factual awareness",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Do PSAs Take a Bite Out of Shark Week? The Effects of Juxtaposing Environmental Messages With Violent Images of Shark Attacks","2014","Myrick & Evans","Yes","531","Climate Change","Environment","video","Video","N/A","Perceived severity,Intention to act","Epistemic,Behavioral","perceived threat,intention to seek information,","Fear","Input","(1) public service announcements increase fear and perceived threat and affect support for policy and information seeking. ",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","A Metacognitive Approach to Reconsidering Risk Perceptions and Uncertainty: Understand Information Seeking During COVID-19","2020","Huang & Yang","Yes","381","COVID","Health","natural variables","Other","N/A","Information seeking","Behavioral","risk perception questionnaire,information-seeking questionnaire","Fear,Anxiety,Worry,Hope","Input","(1) risk perception and uncertainty predict information seeking
(1) hope effect depend on interaction between uncertainty and risk perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Images That Engage People With Sustainable Urban Water Management","2018","Schultz","Yes","23","Climate Change","Environment","images","Image","N/A","Affective response","Affective","Image-sorting Q-method","unspecified","output","(1) images of ocean ilicit positive emotions,stormwater evoked negative emotions,",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Scared Yet Compassionate? Exploring the Order Effects of Threat Versus Suffering Messages on Attitude Toward Scary Victims","2020","Lu et al.","Yes","1506","Wildlife","Environment","picture","Text,Image","threat/suffering","Attitude change","Attitudinal","emotion,attitude towards bat questionnaire","Compassion,Fear","Input","(1) compassion,not fear,mediate effects of threat and suffering messages",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Scared Yet Compassionate? Exploring the Order Effects of Threat Versus Suffering Messages on Attitude Toward Scary Victims","2020","Lu et al.","Yes","1506","Wildlife","Environment"," text","Text,Image","threat/suffering","Attitude change","Attitudinal","emotion,attitude towards bat questionnaire","Compassion,Fear","Input","(1) compassion,not fear,mediate effects of threat and suffering messages",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","A Social Identity Approach to Engaging Christians in the Issue of Climate Change","2019","Goldberg et al","Yes","25,441,620","Climate Change","Environment","text","Text","moral/religious/health/economic","Motivation","Behavioral","risk perception questionnaire","None","","(1) framing environmental protection as a moral and religious issue is effective ",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The Effects of Establishing Intimacy and Consubstantiality on Group Discussions About Climate Change Solutions","2020","Bloomfield et al.","Yes","329","Climate Change","Environment","article","Text","N/A","Engagement","Attitudinal","open-ended question,group questionnaire","None","","(1) intimate groups more likely to exhibit commonality",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Reporting","Communicate hope to motivate the public during the COVID-19 pandemic","2022","Petersen et al.","Yes","3022","Health","Health","visual aid + text","Text,Image","hope/fear","Motivation","Behavioral","Questionnaire","Hope,Fear","Input","(1) hope oriented visual communication motivates public action more than fear-oriented communication",NA,NA,NA,NA,NA,NA,"",""
