Type,Journal / Book,Title,Year,Authors,Experimental Study?,N?,Scientific topic,Method,Stimulus,Type of framing,Measure of Efficacy,Emotion,Measure type,Key findings,,,,,,,,,,Method of Exploration,Jounral checked
,,Who is afraid of the Ebola outbreak? The influence of discrete emotions on risk perception,2016,Yang & Chu,Yes,300+,Ebola,"risk perception questionnaire, emotion questionnaire, intention to mitigate questionnaire","text, mock-up news story",high risk/low risk,"perceived risk, intention to mitigate","fear, anxiety, anger, disgust, sadness",behavioral,"(1) fear, anget, anxiety, disgust and sadness are positively related to risk perception
(2) Fear inhibit effect of risk information on pariticipants' support for mitigation measures",,,,,,,,,,,
,,Boomerang effects in science communication: How motivated reasoning and identity cues amplify opinion polarization about climate mitigation policies,2011,Hart & Nisbet,Yes,240,Climate Change,knowledge and belief questionnaire,"text, simulated news story",n/a,support for policy,n/a,behavioral,"(1) Political partisanship conditions identification with potential victims
(2) Partisanship increase degree of political polarization and resulted in boomerang effect ",,,,,,,,,,,
,,"Exploring the framing effects of emotion do discrete emotions differentially influence information accessibility, information seeking, and policy preference?",2003,Nabi,Yes,166,n/a,"information accessbility questionnaire, perceived knowledge questionnaire",emotional priming,n/a,"policy preference, information seeking preference","fear, anger, enthusiasm, contentment",behavioral,"(1) Fear and anger can differentially affect information accessibility, information seeking, and policy preference",,,,,,,,,,,
,,Dealing with feelings: Positive and negative discrete emotions as mediators of news framing effects,2013,Lecheler et al.,Yes,161,n/a,"emotions questionnaire, support questionnaire",news articles,positive/negative,benefit perception,"fear, anger, enthusiasm, contentment",behavioral,"(1) anger and enthusiasm mediate framing effects, contentment and fear do not",,,,,,,,,,,
,,The effects of emotional appeals and gain versus loss framing in communicating sea star wasting disease,2015,Lu,Yes,555,Climate change,"emotions questionnaire, behavioral intention questionnaire",news article,"gain/loss, sadness/hope",behavioral intention,"sadness, hope",behavioral,"(1) Sadness appeal is effective to promote information seeking and policty support hope is ineffective in this context
(2) sadness is more effective with gain framing hope have great impact with loss framing",,,,,,,,,,,
,,Exploring the role of incidental emotions in support for climate change policy,2015,Lu & Schuldt,Yes,719,Climate change,"support questionnaire, behavioral intention questionnaire","writing exercise (emotional prime), message evaluation test (news article)",proximal/distal,"behavioral intention, support for policy","anger, guilt",behavioral,"(1) guilt increase support for policies
",,,,,,,,,,,
,,Role of negative emotion in communication about CO2 risks,2001,Meijnders et al.,Yes,162,Climate change,"risk perception, intention questionnaire",video,n/a,perceived strength of argument,fear,behavioral,(1) fear affect processing of information and resulted in favorable attitude toward energy conservation,,,,,,,,,,,
,,Framing and communicating climate change: The effects of distance and outcome frame manipulations,2010,Spence & Nick,Yes,161,Climate Change,"attention questionnaire, perceived severity questionnaire ","text, visual maps, pictures","gain/loss, local/distant",perceived severity,fear,behavioral,"(1) gain frames increase perceived severity
(2) better effect of gain frame partially suppressed by lower fear response and poorer information recall ",,,,,,,,,,,
,,Fear and hope in climate messages,2012,Stern,Yes,??,Covid,??,??,??,??,"fear, hope",,(1) fear don't work on climate change deniers but positive appeals can,,,,,,,,,,,
,,"Framing, partisan predispositions, and public opinion on climate change",2015,Wiest et al.,Yes,198,Climate change,"behavioral intention questionnaire, perceived benefit questionnaire",video,"loss/benefit, local/global","perceived severity, behavioral intentions, policy attitudes",n/a,behavioral,"(1) local framing increase perception of severity and support for policy
(2) benefit framing weakens perceptions of severity and support for policy action",,,,,,,,,,,
,,Negative emotion and message processing,1994,Baron et al.,Yes,94,N/A,"perceived message quality, memory",tape recording,low fear/high fear,recall,fear,epistemic,(1) fear leads to more careful information processing,,,,,,,,,,,
,,The effect of framing and normative messages in building support for climate policies,2014,Hurlstone et al.,Yes,120,Climate Change,policy support questionnaire,Text,foregone gain/loss,policy preference,n/a,behavioral,(1) gain-frame effective for policy support,,,,,,,,,,,
,,"Climate change risk perception and policy preferences: the role of affect, imagery, and values",2005,Leiserowitz,Yes,673,climate change,"risk perception questionnaire, policy support questionnaire, emotion questionnaire",images,n/a,"risk perception, policy support",n/a,behavioral,"(1) risk perception and policy support is influenced by affect, imagery, and values",,,,,,,,,,,
,,"Fish Tales: How Narrative Modality, Emotion, and Transportation Influence Support for Sustainable Aquaculture",2021,Rickard et al.,Yes,2225,Climate change,"risk perception, emotion questionnaire, transportation questionnaire, support","video, text",n/a,"perceived risk, support",n/a,behavioral,"(1) Text is more transporting than video
(2) transporting lead to lower risk perception and high support",,,,,,,,,,,
,,"Stars—They’re Sick Like Us! The Effects of a Celebrity Exemplar on COVID-19-Related Risk Cognitions, Emotions, and Preventative Behavioral Intentions",2020,Cohen ,Yes,213,Covid,"perceived severity, behavioral intention questionnaire",survey,n/a,"perceived severity, intentions",n/a,behavioral,(1) Celebrity examples increase anxiety and increase engagement in preventive behavior,,,,,,,,,,,
,,Communicating Food Safety via the Social Media: The Role of Knowledge and Emotions on Risk Perception and Prevention,2014,Mou & Lin,Yes,1360,Food,risk perception questionnaire,survey,n/a,risk perception,"anger, sadness, fear, enxiety, resentment",behavioral,(1) Emotional response is predictor of safety risk perception and preventive action compared to factual awareness,,,,,,,,,,,
,,Do PSAs Take a Bite Out of Shark Week? The Effects of Juxtaposing Environmental Messages With Violent Images of Shark Attacks,2014,Myrick & Evans,Yes,531,Climate change,"perceived threat, intention to seek information, ",video,n/a,"perceived threat, intention to seek information",fear,behavioral,(1) public service announcements increase fear and perceived threat and affect support for policy and information seeking. ,,,,,,,,,,,
,,A Metacognitive Approach to Reconsidering Risk Perceptions and Uncertainty: Understand Information Seeking During COVID-19,2020,Huang & Yang,Yes,381,Covid,"risk perception questionnaire, information-seeking questionnaire",n/a,n/a,information-seeking behavior (self-report),"fear, anxious, worry, hope",behavioral,"(1) risk perception and uncertainty predict information seeking
(1) hope effect depend on interaction between uncertainty and risk perception",,,,,,,,,,,
,,Images That Engage People With Sustainable Urban Water Management,2018,Schultz,Yes,23,Climate change,Image-sorting Q-method,images,n/a,emotional reaction,n/a,emotion,"(1) images of ocean ilicit positive emotions, stormwater evoked negative emotions,",,,,,,,,,,,
,,Scared Yet Compassionate? Exploring the Order Effects of Threat Versus Suffering Messages on Attitude Toward Scary Victims,2020,Lu et al.,Yes,1506,wildlife,"emotion, attitude towards bat questionnaire",picture + bullet-list of info,threat/suffering,attitude towards bats,"compassion, fear",behavioral,"(1) compassion, not fear, mediate effects of threat and suffering messages",,,,,,,,,,,
,,A Social Identity Approach to Engaging Christians in the Issue of Climate Change,2019,Goldberg et al,Yes,"2544, 1620",Climate change,"risk perception questionnaire, motivation to reduce global warming questionnaire",text,moral/religious/health/economic,motivation for reducing global warming,n/a,behavioral,(1) framing environmental protection as a moral and religious issue is effective ,,,,,,,,,,,
,,The Effects of Establishing Intimacy and Consubstantiality on Group Discussions About Climate Change Solutions,2020,Bloomfield et al.,Yes,329,Climate Change,"open-ended question, group questionnaire",text article,n/a,response to climate change (?),n/a,behavioral,(1) intimate groups more likely to exhibit commonality,,,,,,,,,,,
,,Communicate hope to motivate the public during the COVID-19 pandemic,2022,Petersen et al.,Yes,3022,Health,questionnaire,visual aid + text,hope/fear,public action,"hope, fear",behavioral,(1) hope oriented visual communication motivates public action more than fear-oriented communication,,,,,,,,,,,
